2025-03-27 15:42:37 Vid: 000763.mp4,  Current sd_score: 0.7160549759864807, Current avg. sd_score: 0.68691845536232,  
2025-03-27 15:42:39 Vid: 000148.mp4,  Current sd_score: 0.6666016578674316, Current avg. sd_score: 0.6865200867839888,  
2025-03-27 15:42:42 Vid: 000667.mp4,  Current sd_score: 0.7233424782752991, Current avg. sd_score: 0.6872282096972833,  
2025-03-27 15:42:44 Vid: 000211.mp4,  Current sd_score: 0.7228856682777405, Current avg. sd_score: 0.6879009919346504,  
2025-03-27 15:42:46 Vid: 000014.mp4,  Current sd_score: 0.6877270936965942, Current avg. sd_score: 0.6878977715969086,  
2025-03-27 15:42:48 Vid: 000975.mp4,  Current sd_score: 0.8269624710083008, Current avg. sd_score: 0.6904262206771157,  
2025-03-27 15:42:50 Vid: 000355.mp4,  Current sd_score: 0.6900216937065125, Current avg. sd_score: 0.6904189969812121,  
2025-03-27 15:42:52 Vid: 000125.mp4,  Current sd_score: 0.7255045771598816, Current avg. sd_score: 0.6910345334755746,  
2025-03-27 15:42:55 Vid: 000399.mp4,  Current sd_score: 0.7362439632415771, Current avg. sd_score: 0.6918140064025747,  
2025-03-27 15:42:57 Vid: 000316.mp4,  Current sd_score: 0.6583620309829712, Current avg. sd_score: 0.6912470237683441,  
2025-03-27 15:42:59 Vid: 000750.mp4,  Current sd_score: 0.6717109084129333, Current avg. sd_score: 0.690921421845754,  
2025-03-27 15:43:01 Vid: 000342.mp4,  Current sd_score: 0.6830284595489502, Current avg. sd_score: 0.6907920290212162,  
2025-03-27 15:43:03 Vid: 000162.mp4,  Current sd_score: 0.7080548405647278, Current avg. sd_score: 0.6910704614654664,  
2025-03-27 15:43:05 Vid: 000801.mp4,  Current sd_score: 0.7412477731704712, Current avg. sd_score: 0.6918669267306252,  
2025-03-27 15:43:08 Vid: 000545.mp4,  Current sd_score: 0.7157720327377319, Current avg. sd_score: 0.6922404440119863,  
2025-03-27 15:43:10 Vid: 000848.mp4,  Current sd_score: 0.6150814890861511, Current avg. sd_score: 0.6910533831669734,  
2025-03-27 15:43:12 Vid: 000963.mp4,  Current sd_score: 0.6310194134712219, Current avg. sd_score: 0.6901437775655226,  
2025-03-27 15:43:14 Vid: 000154.mp4,  Current sd_score: 0.6483919024467468, Current avg. sd_score: 0.689520615250317,  
2025-03-27 15:43:17 Vid: 000333.mp4,  Current sd_score: 0.6343927383422852, Current avg. sd_score: 0.6887099111781401,  
2025-03-27 15:43:19 Vid: 000944.mp4,  Current sd_score: 0.7939450740814209, Current avg. sd_score: 0.6902350584665934,  
2025-03-27 15:43:21 Vid: 000644.mp4,  Current sd_score: 0.6807406544685364, Current avg. sd_score: 0.690099424123764,  
2025-03-27 15:43:23 Vid: 000793.mp4,  Current sd_score: 0.8195513486862183, Current avg. sd_score: 0.6919226906668972,  
2025-03-27 15:43:26 Vid: 000178.mp4,  Current sd_score: 0.6893714070320129, Current avg. sd_score: 0.6918872561719682,  
2025-03-27 15:43:28 Vid: 000074.mp4,  Current sd_score: 0.6903597712516785, Current avg. sd_score: 0.6918663317210054,  
2025-03-27 15:43:31 Vid: 000424.mp4,  Current sd_score: 0.636786937713623, Current avg. sd_score: 0.6911220155857705,  
2025-03-27 15:43:33 Vid: 000606.mp4,  Current sd_score: 0.7141128778457642, Current avg. sd_score: 0.6914285604159037,  
2025-03-27 15:43:35 Vid: 000360.mp4,  Current sd_score: 0.666211724281311, Current avg. sd_score: 0.6910967599404486,  
2025-03-27 15:43:37 Vid: 000684.mp4,  Current sd_score: 0.7023597955703735, Current avg. sd_score: 0.6912430331304475,  
2025-03-27 15:43:39 Vid: 000031.mp4,  Current sd_score: 0.6947048902511597, Current avg. sd_score: 0.6912874159140464,  
2025-03-27 15:43:42 Vid: 000694.mp4,  Current sd_score: 0.7325080037117004, Current avg. sd_score: 0.6918091955064218,  
2025-03-27 15:43:44 Vid: 000979.mp4,  Current sd_score: 0.6867730021476746, Current avg. sd_score: 0.6917462430894374,  
2025-03-27 15:43:46 Vid: 000215.mp4,  Current sd_score: 0.6124050617218018, Current avg. sd_score: 0.6907667223318124,  
2025-03-27 15:43:48 Vid: 000556.mp4,  Current sd_score: 0.6469844579696655, Current avg. sd_score: 0.6902327922786154,  
2025-03-27 15:43:51 Vid: 000892.mp4,  Current sd_score: 0.5529041886329651, Current avg. sd_score: 0.6885782307889088,  
2025-03-27 15:43:53 Vid: 000268.mp4,  Current sd_score: 0.7775623202323914, Current avg. sd_score: 0.6896375651870456,  
2025-03-27 15:43:55 Vid: 000971.mp4,  Current sd_score: 0.7603317499160767, Current avg. sd_score: 0.6904692614779753,  
2025-03-27 15:43:57 Vid: 000540.mp4,  Current sd_score: 0.7306825518608093, Current avg. sd_score: 0.6909368578777757,  
2025-03-27 15:43:59 Vid: 000350.mp4,  Current sd_score: 0.631381094455719, Current avg. sd_score: 0.6902523088729244,  
2025-03-27 15:44:01 Vid: 000607.mp4,  Current sd_score: 0.7264963388442993, Current avg. sd_score: 0.6906641728498719,  
2025-03-27 15:44:04 Vid: 000393.mp4,  Current sd_score: 0.6585168838500977, Current avg. sd_score: 0.6903029673554925,  
2025-03-27 15:44:06 Vid: 000326.mp4,  Current sd_score: 0.5887380242347717, Current avg. sd_score: 0.6891744679874844,  
2025-03-27 15:44:08 Vid: 000019.mp4,  Current sd_score: 0.7043482661247253, Current avg. sd_score: 0.6893412130219596,  
2025-03-27 15:44:10 Vid: 000839.mp4,  Current sd_score: 0.716763973236084, Current avg. sd_score: 0.6896392865025479,  
2025-03-27 15:44:13 Vid: 000076.mp4,  Current sd_score: 0.6986493468284607, Current avg. sd_score: 0.6897361688716437,  
2025-03-27 15:44:15 Vid: 000959.mp4,  Current sd_score: 0.628768265247345, Current avg. sd_score: 0.6890875741522363,  
2025-03-27 15:44:17 Vid: 000896.mp4,  Current sd_score: 0.6804734468460083, Current avg. sd_score: 0.6889968991279602,  
2025-03-27 15:44:19 Vid: 000483.mp4,  Current sd_score: 0.6933292746543884, Current avg. sd_score: 0.6890420280396938,  
2025-03-27 15:44:22 Vid: 000141.mp4,  Current sd_score: 0.6530024409294128, Current avg. sd_score: 0.6886704859045363,  
2025-03-27 15:44:24 Vid: 000069.mp4,  Current sd_score: 0.7243645787239075, Current avg. sd_score: 0.6890347113414687,  
2025-03-27 15:44:26 Vid: 000486.mp4,  Current sd_score: 0.7442047595977783, Current avg. sd_score: 0.6895919845561789,  
2025-03-27 15:44:29 Vid: 000334.mp4,  Current sd_score: 0.6382516026496887, Current avg. sd_score: 0.6890785807371139,  
2025-03-27 15:44:31 Vid: 000552.mp4,  Current sd_score: 0.7466934323310852, Current avg. sd_score: 0.6896490248123018,  
2025-03-27 15:44:33 Vid: 000695.mp4,  Current sd_score: 0.6793756484985352, Current avg. sd_score: 0.6895483054366767,  
2025-03-27 15:44:35 Vid: 000605.mp4,  Current sd_score: 0.7817996740341187, Current avg. sd_score: 0.6904439497919916,  
2025-03-27 15:44:37 Vid: 000698.mp4,  Current sd_score: 0.6198318600654602, Current avg. sd_score: 0.689764987390775,  
2025-03-27 15:44:39 Vid: 000614.mp4,  Current sd_score: 0.7220330238342285, Current avg. sd_score: 0.6900723020235697,  
2025-03-27 15:44:41 Vid: 000432.mp4,  Current sd_score: 0.6718888878822327, Current avg. sd_score: 0.6899007603807269,  
2025-03-27 15:44:43 Vid: 000589.mp4,  Current sd_score: 0.7302570343017578, Current avg. sd_score: 0.6902779218192413,  
2025-03-27 15:44:45 Vid: 000296.mp4,  Current sd_score: 0.6163337230682373, Current avg. sd_score: 0.6895932533122875,  
